Agency,Annual_Contract_Revenue,State,Country,Congressional_District,Contracting_Agency,Contracting_Office,DUNS,Contract_Date,Vendor
DOD,500000,TENNESSEE,USA,2,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,178610390,2011,"FORT DEFIANCE INDUSTRIES, INC."
DOD,500000,TEXAS,USA,12,DEFENSE LOGISTICS AGENCY,DLA AVIATION,809670008,2011,VISTA MACHINING COMPANY
DOD,500000,TEXAS,USA,12,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,809670008,2012,VISTA MACHINING COMPANY
DOD,500000,VIRGINIA,USA,10,DEPT OF THE NAVY,NAV FAC ENGINEERING CMD WASHINGTON,808129824,2011,CULPEPPER VETERANS ASSOCIATES&AJ ENGINEERS JOINT VENTURE
DOD,500000,VIRGINIA,USA,2,DEPT OF THE NAVY,NAVSUP FLT LOG CTR NORFOLK,189040186,2011,TQS CORP.
DOD,500000,VIRGINIA,USA,2,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,189040186,2012,TQS CORP.
DOD,500000,VIRGINIA,USA,2,DEPT OF THE NAVY,COMMANDING OFFICER,786250899,2012,PRISM MARITIME LIMITED LIABILITY COMPANY
DOD,500000,VIRGINIA,USA,1,DEFENSE LOGISTICS AGENCY,DLA AVIATION,19807853,2012,"AILERON AVIATION INDUSTRIES, INC."
DOD,480566,FLORIDA,USA,8,DEPT OF THE NAVY,NSWC CARDEROCK,68867048,2012,"QUALIFIED FASTENERS OF FLORIDA, INC."
DOD,480000,,JAPAN,,DEPT OF THE AIR FORCE,FA5270  18 CONS LGC,710139937,2011,"CHINEN.KAITAI CO.,LTD."
DOD,477000,CONNECTICUT,USA,5,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,131004053,2012,"WATERBURY PLUMBING&HEATING SUPPLY, INC."
DOD,450000,VIRGINIA,USA,2,DEPT OF THE NAVY,NAVSUP FLT LOG CTR NORFOLK,13347872,2011,AAA MCCOY'S RIGHTAWAY MOVING&HAULING
DOD,440000,TEXAS,USA,28,DEPT OF THE ARMY,0409 AQ HQ,155826477,2012,"HHB, LLC"
DOD,428571,,JAPAN,,DEPT OF THE AIR FORCE,FA5205  35 CONS LGC,718644743,2011,"INTERIOR KIMURA CO.,LTD."
DOD,400000,CALIFORNIA,USA,45,DEFENSE LOGISTICS AGENCY,DLA MARITIME - PORTSMOUTH,45740656,2011,OUTSOURCE LTD.
DOD,400000,INDIANA,USA,9,DEPT OF THE ARMY,W072 ENDIST LOUISVILLE,807809137,2012,HAMHED LIMITED LIABILIY COMPANY
DOD,400000,MASSACHUSETTS,USA,2,DEPT OF THE NAVY,NAVAIR WARFARE CTR AIRCRAFT DIV LKE,26095914,2011,EDIZEN
DOD,400000,NEW YORK,USA,3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,42588293,2011,"ASTRODYNE, INC."
DOD,400000,NEW YORK,USA,3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,42588293,2011,"ASTRODYNE, INC."
DOD,400000,VIRGINIA,USA,4,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD MID LANT,69161227,2011,J AND J ENTERPRISES OF SUFFOLK CORPORATION
DOD,383578,CALIFORNIA,USA,25,DEFENSE LOGISTICS AGENCY,DLA TROP SUPPORT C&E HARDWARE,48485478,2011,WESCO AIRCRAFT HARDWARE CORP.
DOD,383578,CALIFORNIA,USA,25,DEFENSE LOGISTICS AGENCY,DLA AVIATION,48485478,2011,WESCO AIRCRAFT HARDWARE CORP.
DOD,383578,CALIFORNIA,USA,25,DEFENSE LOGISTICS AGENCY,DLA TROP SUPPORT C&E HARDWARE,48485478,2011,WESCO AIRCRAFT HARDWARE CORP.
DOD,375000,CALIFORNIA,USA,52,DEPT OF THE NAVY,NAVFAC SOUTHWEST,165039186,2012,"LG SERVICES, INC."
DOD,375000,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,DLA AVIATION,141241385,2012,INDUSTRIAL WELDING&ENGINEERING CO.
DOD,360000,WASHINGTON,USA,4,DEPT OF THE NAVY,NAVAL FAC ENGINEEERING CMD ATLANTIC,148024409,2011,CONTRACT SERVICES INCORPORATED (8089)
DOD,354700,CALIFORNIA,USA,48,DEPT OF THE ARMY,W074 ENDIST MOBILE,151289605,2011,CUMMING CLARKE
DOD,352600,,"KOREA, SOUTH",,DEPT OF THE ARMY,0411 AQ HQ     HQ PARC,688022946,2011,"HOSAN ENVIRONMENT CO., LTD."
DOD,350000,IDAHO,USA,2,DEPT OF THE NAVY,SPACE AND NAVAL WARFARE SYSTEMS,36933729,2011,NETWORK INTERPRETING SERVICE LIMITED LIABILITY COMPANY
DOD,350000,MARYLAND,USA,3,DEPT OF THE ARMY,W40M NORTHEREGION CONTRACT OFC,170631183,2012,"MEDICAL IMAGING ASSOCIATES, LLC"
DOD,350000,VIRGINIA,USA,8,DEPT OF THE NAVY,NAVSUP FLT LOG CTR NORFOLK,624623695,2011,AMPIO MANAGEMENT CONSULTING
DOD,320000,CALIFORNIA,USA,5,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,883858557,2011,FAM-PAK OF CALIFORNIA
DOD,316464,SOUTH DAKOTA,USA,0,DEPT OF THE ARMY,W6QM MICC-FT LEONARD WOOD,2580780,2012,"LAKOTA CONTRACTING, INC."
DOD,315000,IOWA,USA,1,DEPT OF THE NAVY,NAVAL AIR WARFARE CENTER AIR DIV,98018112,2011,"AEROSPACE CONTROL PRODUCTS, INC."
DOD,300000,DISTRICT OF COLUMBIA,USA,0,DEPT OF THE AIR FORCE,FA4819 325TH CONTRACTING SQ,962913526,2011,"GLOBAL DYNAMICS, LLC"
DOD,300000,FLORIDA,USA,4,DEPT OF THE NAVY,NAVSUP FLT LOG CTR JACKSONVILLE,97234491,2011,A M I SERVICES
DOD,300000,MARYLAND,USA,3,DEPT OF THE AIR FORCE,FA4427  60 CONS LGC,137258252,2011,"ACELL, INC."
DOD,300000,NEW JERSEY,USA,1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,69024354,2012,HOWIE MANUFACTURING CO INC
DOD,300000,NEW YORK,USA,10,DEPT OF THE NAVY,SUPPLY DIRECTORATE,622350184,2012,F C I TECH INC.
DOD,300000,VIRGINIA,USA,1,DEPT OF THE NAVY,COMMANDER,114474096,2012,JAMES HAYNES JR
DOD,292796,OHIO,USA,8,DEPT OF THE NAVY,WALTER REED NATIONAL,5036025,2012,MIDMARK CORPORATION
DOD,280000,RHODE ISLAND,USA,2,DEPT OF THE NAVY,NAVAL RESEARCH LABORATORY,199724266,2012,XITOME DESIGN LLC
DOD,250000,CALIFORNIA,USA,18,DEPT OF THE ARMY,W075 ENDIST SAN FRAN,135778905,2012,KRANE TECHS EQUIPMENT SERVICES
DOD,250000,COLORADO,USA,5,DEPT OF THE AIR FORCE,FA2517  21 CONS LGC,158994272,2011,T D SUPPORT SERVICES CORP
DOD,250000,GEORGIA,USA,12,DEFENSE LOGISTICS AGENCY,DLA AVIATION,195330212,2012,SAMROS ENTERPRISES INC
DOD,250000,MISSISSIPPI,USA,4,DEPT OF THE AIR FORCE,FA4427  60 CONS LGC,138849331,2011,"KARNAVATI STEEL INDUSTRIES OF MISSISSIPPI, LTD."
DOD,250000,MISSOURI,USA,4,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,944205590,2012,CHAMP INDUSTRIES
DOD,250000,NEW JERSEY,USA,12,DEFENSE LOGISTICS AGENCY,DLA AVIATION,807109272,2012,OAVIATION CORPORATION
DOD,250000,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,DLA AVIATION,609003660,2012,AEROPANEL CORPORATION
DOD,250000,NEW YORK,USA,28,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,968608328,2012,BRAVA METAL SUPPLY CORP.
DOD,250000,NORTH CAROLINA,USA,9,DEPT OF THE ARMY,W7M6 USPFO ACTIVITY IL ARNG,107967338,2012,DCM ASSOCIATES INCORPORATED
DOD,250000,WASHINGTON,USA,2,DEPT OF THE ARMY,W6QM MICC-FDO FT EUSTIS,878063960,2012,"OCEANID, LLC"
DOD,250000,,JAPAN,,DEPT OF THE AIR FORCE,FA5270  18 CONS LGC,710200663,2011,"TAKAESU KOKI, K.K."
DOD,220000,MAINE,USA,2,DEFENSE LOGISTICS AGENCY,DLA DISTRIBUTION,809642635,2012,"AUTOMATION INTEGRATORS, INC."
DOD,210000,IOWA,USA,2,DEPT OF THE AIR FORCE,FA4600  55 CONS LGC,26173034,2011,MILLENNIUM HEALTH&FITNESS INC.
DOD,210000,TENNESSEE,USA,6,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,75386177,2012,"GIL, INC."
DOD,203831,CALIFORNIA,USA,50,DEPT OF THE NAVY,COMMANDING OFFICER,94653586,2012,IFE GROUP
DOD,203831,CALIFORNIA,USA,50,DEPT OF THE NAVY,MCAS MIRAMAR,94653586,2012,IFE GROUP
DOD,200000,ALASKA,USA,0,DEPT OF THE AIR FORCE,FA5004  354 CONS LGC,617807842,2011,ARCTIC ELEVATOR COMPANY LIMITED LIABILITY COMPANY
DOD,200000,CALIFORNIA,USA,51,DEPT OF THE NAVY,COMMANDING GENERAL,43658160,2011,"COX COMMUNICATIONS SAN DIEGO, INC."
DOD,200000,FLORIDA,USA,3,DEPT OF THE ARMY,W6QK ACC-PICA,152251638,2011,"TANKRIDE.COM, INC."
DOD,200000,FLORIDA,USA,3,DEPT OF THE NAVY,NAVAL AIR WARFARE CENTER,152251638,2012,"TANKRIDE.COM, INC."
DOD,200000,FLORIDA,USA,15,DEPT OF THE NAVY,MILITARY SEALIFT FLT SUPP CMD NORF,195150891,2012,CANAVERAL PILOTS ASSOCIATION
DOD,200000,NORTH CAROLINA,USA,9,DEPT OF THE ARMY,W7NC USPFO ACTIVITY ME ARNG,876291493,2012,EVERGREEN SILKS NC INCORPORATED
DOD,200000,VIRGINIA,USA,2,DEPT OF THE NAVY,NAVSUP FLT LOG CTR NORFOLK,3277089,2011,"LINXX SECURITY, INC."
DOD,200000,,JAPAN,,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD FAR EAST,709890933,2012,"NISHIKYUSHU KEIRYO-KENSA CENTER CO.,LTD."
DOD,180000,MARYLAND,USA,5,DEPT OF THE ARMY,W40M NORTHEREGION CONTRACT OFC,171893282,2011,PLATINUM BUSINESS CORPORATION
DOD,180000,NEW YORK,USA,17,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,620299078,2011,SMARTECH MANUFACTURING CORPORATION
DOD,180000,,"KOREA, SOUTH",,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  YOKOSUKA,690512491,2011,JEIL ENTERPRISE
DOD,164827,OHIO,USA,14,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,142490650,2011,"FAIRPORT INDUSTRIAL GROUP, LLC"
DOD,160000,CALIFORNIA,USA,50,DEPT OF THE NAVY,NAVFAC SOUTHWEST,610798162,2012,G2RJ INCORPORATED
DOD,160000,UTAH,USA,2,DEFENSE LOGISTICS AGENCY,DLA DISTRIBUTION,184444578,2012,UTAH INDUSTRIES FOR THE BLIND
DOD,158200,CALIFORNIA,USA,23,DEPT OF THE ARMY,W6QM MICC CTR-FT DIX (RC),796359524,2012,DRIVE CUSTOMS
DOD,154000,SOUTH CAROLINA,USA,4,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,9788832,2012,"S.D. INTERNATIONAL, LLC"
DOD,150000,FLORIDA,USA,22,DEPT OF THE ARMY,W7NX USPFO ACTIVITY PA ARNG,121540723,2012,S&Y TRADING CORP
DOD,150000,NORTH CAROLINA,USA,4,DEPT OF THE ARMY,W2R2 COLD RGNS RSCH ENG LAB,65256146,2012,BIOTA OF NORTH AMERICA PROGRAM
DOD,150000,PENNSYLVANIA,USA,15,DEPT OF THE ARMY,W2SD ENDIST BALTIMORE,151641420,2012,BENEVENTO ENTERPRISES INCORPORATED
DOD,150000,PENNSYLVANIA,USA,11,DEFENSE LOGISTICS AGENCY,DLA AVIATION,828655238,2012,MILITARY&COMMERCIAL FABRICATORS
DOD,150000,WASHINGTON,USA,9,DEFENSE LOGISTICS AGENCY,DLA MARITIME - PUGET SOUND,43019744,2012,CHAS D WEST CO
DOD,150000,WASHINGTON,USA,9,DEPT OF THE NAVY,NAVSUP FLT LOG CTR PUGET SOUND,43019744,2012,CHAS D WEST CO
DOD,150000,,"KOREA, SOUTH",,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  YOKOSUKA,688472802,2011,BUIL COMPANY
DOD,150000,,THAILAND,,DEPT OF THE NAVY,NAVSUP FLT LOG CTR SINGAPORE OFFICE,671734708,2011,S-3 SERVICES COMPANY LIMITED
DOD,145000,MISSOURI,USA,2,DEPT OF THE NAVY,WALTER REED NATIONAL,190165576,2012,ARC PRODUCTS LIMITED LIABILITY COMPANY
DOD,142286,ILLINOIS,USA,14,DEPT OF THE AIR FORCE,FA3016  502 CONS CL            JBSA,140015277,2011,LAB INFORMATION TECHNOLOGY INCORPORATED
DOD,120000,WASHINGTON,USA,3,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,194515669,2011,"JONES BAUER AND  ASSOCIATES, LLC"
DOD,106739,WASHINGTON,USA,2,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME,615319303,2011,"WESTERN SKY INDUSTRIES, LLC"
DOD,101000,,JAPAN,,DEPT OF THE AIR FORCE,FA5209  374 CONS LGC,713932171,2011,ERSTFELD ASSOCIATES
DOD,100000,ALASKA,USA,0,DEPT OF THE AIR FORCE,FA4890  ACC AMIC,795021968,2011,"ALUTIIQ BUSINESS SERVICES, LLC"
DOD,100000,CALIFORNIA,USA,22,DEPT OF THE AIR FORCE,FA9301  AFTC PZIO,809414795,2011,"UNITED RODENT&PEST SERVICES, INC."
DOD,100000,FLORIDA,USA,17,DEPT OF THE AIR FORCE,FA3010  81 CONS CC,796313216,2011,"AMG HEALTHCARE SERVICES, INC"
DOD,100000,NEBRASKA,USA,1,DEPT OF THE ARMY,W071 ENDIST OMAHA,789022774,2012,HO-CHUNK BUILDERS COMPANY
DOD,100000,NEW YORK,USA,25,DEFENSE LOGISTICS AGENCY,DLA LAND AND MARITIME SUPPLIER,54025304,2011,MITTEN MANAGEMENT INCORPORATED
DOD,100000,NORTH CAROLINA,USA,7,DEPT OF THE AIR FORCE,FA4809  4TH CONS SQDN CC,962757394,2011,"CONTRACTING SERVICES AND SUPPLIES UNLIMITED, INC."
DOD,100000,WISCONSIN,USA,4,DEPT OF THE NAVY,NAVAL FAC ENGINEEERING CMD MIDWEST,808735083,2012,KEPA DAKOTA JV
DOD,100000,,TURKEY,,DEPT OF THE AIR FORCE,FA5685  39 CONS LGC,566219951,2011,EBRU UNAL OZEL SAGLIK HIZMETLERI VE TICARET LTD STI
DOD,100000,,"KOREA, SOUTH",,DEPT OF THE ARMY,0411 AQ HQ     HQ PARC,688028240,2012,"HAN SUNG IND. CO., LTD."
DOD,100000,,"KOREA, SOUTH",,DEPT OF THE ARMY,0411 AQ HQ     HQ PARC,688028240,2012,"HAN SUNG IND. CO., LTD."
DOD,100000,,PHILIPPINES,,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  YOKOSUKA,718934458,2012,LA REENA ENTERPRISE
DRUG ENFORCEMENT ADMINISTRATION,38927998976,VIRGINIA,USA,8,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-MIAMI,790645188,2011,"NEXTEL OF CALIFORNIA, INC."
DRUG ENFORCEMENT ADMINISTRATION,38927998976,VIRGINIA,USA,8,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-NEWARK,603493677,2011,SPRINT COMMUNICATIONS COMPANY L.P.
DRUG ENFORCEMENT ADMINISTRATION,35214000128,DISTRICT OF COLUMBIA,USA,0,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-NEW YORK,185743655,2011,FEDERAL EXPRESS CORPORATION
DRUG ENFORCEMENT ADMINISTRATION,22000001024,MARYLAND,USA,3,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-MIAMI,69373090,2011,"MOTOROLA SOLUTIONS, INC."
DRUG ENFORCEMENT ADMINISTRATION,14000000000,VIRGINIA,USA,8,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-INVESTIGATIVE TECHNOLOGY,53387429,2011,RAYTHEON COMPANY
DRUG ENFORCEMENT ADMINISTRATION,5600000000,CONNECTICUT,USA,4,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-HOUSTON,1161793,2011,PITNEY BOWES INC.
DRUG ENFORCEMENT ADMINISTRATION,5200000000,DELAWARE,USA,0,DRUG ENFORCEMENT ADMINISTRATION,LABORATORY-MID ATLANTIC,195823570,2011,"AGILENT TECHNOLOGIES, INC."
DRUG ENFORCEMENT ADMINISTRATION,1800000000,VIRGINIA,USA,8,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-ATLANTA,626578041,2011,"KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC."
DRUG ENFORCEMENT ADMINISTRATION,1600000000,PENNSYLVANIA,USA,15,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-BOSTON,16234499,2011,"ULINE, INC."
DRUG ENFORCEMENT ADMINISTRATION,1000000000,COLORADO,USA,1,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-DENVER,59260604,2011,"LEWAN&ASSOCIATES, INC."
DRUG ENFORCEMENT ADMINISTRATION,500000000,MARYLAND,USA,5,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-HOUSTON,604061460,2011,AT&T MOBILITY NATIONAL ACCOUNTS LIMITED LIABILITY COMPANY
DRUG ENFORCEMENT ADMINISTRATION,250000000,SOUTH CAROLINA,USA,5,DRUG ENFORCEMENT ADMINISTRATION,LABORATORY-WESTERN,21725213,2011,ATLAS COPCO COMPRESSORS LLC
DRUG ENFORCEMENT ADMINISTRATION,225000000,VIRGINIA,USA,8,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,193348489,2011,"MCNEIL TECHNOLOGIES, INC."
DRUG ENFORCEMENT ADMINISTRATION,200000000,VIRGINIA,USA,10,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-HOUSTON,38049532,2011,"M V M, INC."
DRUG ENFORCEMENT ADMINISTRATION,200000000,VIRGINIA,USA,10,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,38049532,2011,"M V M, INC."
DRUG ENFORCEMENT ADMINISTRATION,88000000,VIRGINIA,USA,10,DRUG ENFORCEMENT ADMINISTRATION,HEADQUARTERS-DRUG ENFORCEMENT ADMINISTRATION,134510648,2011,"FORFEITURE SUPPORT ASSOCIATES, LLC"
DRUG ENFORCEMENT ADMINISTRATION,42000000,MARYLAND,USA,8,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,949873624,2011,ALLWORLD LANGUAGE CONSULTANTS INC.
DRUG ENFORCEMENT ADMINISTRATION,42000000,MARYLAND,USA,8,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,949873624,2011,ALLWORLD LANGUAGE CONSULTANTS INC.
DRUG ENFORCEMENT ADMINISTRATION,40000000,CALIFORNIA,USA,29,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,147459916,2011,METROPOLITAN INTERPRETERS&TRANSLATORS INC
DRUG ENFORCEMENT ADMINISTRATION,40000000,CALIFORNIA,USA,29,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,147459916,2011,METROPOLITAN INTERPRETERS&TRANSLATORS INC
DRUG ENFORCEMENT ADMINISTRATION,40000000,CALIFORNIA,USA,29,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,147459916,2011,METROPOLITAN INTERPRETERS&TRANSLATORS INC
DRUG ENFORCEMENT ADMINISTRATION,27500000,ILLINOIS,USA,10,DRUG ENFORCEMENT ADMINISTRATION,LABORATORY-NORTH EAST,7979362,2011,"A. DAIGGER AND COMPANY, INCORPORATED"
DRUG ENFORCEMENT ADMINISTRATION,24000000,MARYLAND,USA,8,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,949873624,2011,ALL WORLD LANGUAGE CONSULTANT INCORPORATED
DRUG ENFORCEMENT ADMINISTRATION,19500000,MISSISSIPPI,USA,2,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-NEW ORLEANS,21022462,2011,"WLBT, LLC"
DRUG ENFORCEMENT ADMINISTRATION,10000000,CALIFORNIA,USA,29,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,147459916,2011,METROPOLITAN INTERPRETERS AND TRANSLATORS INCORPORATED
DRUG ENFORCEMENT ADMINISTRATION,9800000,CALIFORNIA,USA,5,DRUG ENFORCEMENT ADMINISTRATION,HEADQUARTERS-DRUG ENFORCEMENT ADMINISTRATION,60693306,2011,"INFORMATION FOR PUBLIC AFFAIRS, INC."
DRUG ENFORCEMENT ADMINISTRATION,5000000,CALIFORNIA,USA,24,DRUG ENFORCEMENT ADMINISTRATION,OFFICE-SPECIAL OPERATIONS,5065946,2011,"CONDUIT LANGUAGE SPECIALISTS, INC."
DRUG ENFORCEMENT ADMINISTRATION,3973129,CALIFORNIA,USA,45,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-SAN DIEGO,118392778,2011,"FISHER WIRELESS SERVICES, INC."
DRUG ENFORCEMENT ADMINISTRATION,3000000,DISTRICT OF COLUMBIA,USA,0,DRUG ENFORCEMENT ADMINISTRATION,HEADQUARTERS-DRUG ENFORCEMENT ADMINISTRATION,1627124,2011,NEAL R GROSS&CO INC
DRUG ENFORCEMENT ADMINISTRATION,1000000,PENNSYLVANIA,USA,11,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-PHILADELPHIA,14543805,2011,"INDUSTRIAL ELECTRONICS, INC"
DRUG ENFORCEMENT ADMINISTRATION,600000,TEXAS,USA,28,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-HOUSTON,48120336,2011,UNITECH BUSINESS SOLUTIONS INC
DRUG ENFORCEMENT ADMINISTRATION,568000,TEXAS,USA,27,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-HOUSTON,945520286,2011,D R RESENDEZ&R SCHAALMAN INC
DRUG ENFORCEMENT ADMINISTRATION,500000,TEXAS,USA,14,DRUG ENFORCEMENT ADMINISTRATION,DIVISION-EL PASO,610527483,2011,"HOUSEHOLD DRIVERS REPORT, INC."
"EDUCATION, DEPARTMENT OF",22000001024,FLORIDA,USA,10,"EDUCATION, DEPARTMENT OF",CONTRACTS AND ACQUISITIONS MANAGEMENT,153872643,2012,XEROX CORPORATION
"EDUCATION, DEPARTMENT OF",475000000,MICHIGAN,USA,15,"EDUCATION, DEPARTMENT OF",CONTRACTS AND ACQUISITIONS MANAGEMENT,118717529,2011,PROQUEST LLC
"EDUCATION, DEPARTMENT OF",275000000,VIRGINIA,USA,11,"EDUCATION, DEPARTMENT OF",FEDERAL STUDENT AID PROCUREMENT ACTIVITY,175344753,2011,"DELL SERVICES FEDERAL GOVERNMENT, INC."
"EDUCATION, DEPARTMENT OF",996723,NORTH CAROLINA,USA,4,"EDUCATION, DEPARTMENT OF",CONTRACTS AND ACQUISITIONS MANAGEMENT,948532643,2011,AMERICAN DATA TECHNOLOGY INC
EMPLOYMENT AND TRAINING ADMINISTRATION,44946432,VIRGINIA,USA,6,EMPLOYMENT AND TRAINING ADMINISTRATION,U.S. DEPARTMENT OF LABOR - OASAM,138922682,2011,"HORIZONS YOUTH SERVICES, L.C."
EMPLOYMENT AND TRAINING ADMINISTRATION,3019070,ARIZONA,USA,5,EMPLOYMENT AND TRAINING ADMINISTRATION,DEPT OF LABOR/EMPLOY AND TRAINING ADMIN,161270579,2011,ODLE MANAGEMENT GROUP LIMITED LIABILITY COMPANY
EMPLOYMENT AND TRAINING ADMINISTRATION,765163,GEORGIA,USA,11,EMPLOYMENT AND TRAINING ADMINISTRATION,U.S. DEPARTMENT OF LABOR - OASAM,88379230,2011,"CAREER DEVELOPMENT SERVICES, LLC"
"ENERGY, DEPARTMENT OF",20000000000,CALIFORNIA,USA,10,"ENERGY, DEPARTMENT OF",LIVERMORE SITE OFFICE,785627931,2011,LAWRENCE LIVERMORE NATIONAL SECURITY LIMITED LIABILITY COMPANY
"ENERGY, DEPARTMENT OF",904000000,WASHINGTON,USA,,"ENERGY, DEPARTMENT OF",OAK RIDGE OFFICE (OFFICE OF SCIENCE),32987476,2011,BATTELLE MEMORIAL INSTITUTE
"ENERGY, DEPARTMENT OF",12392689,ALASKA,USA,,"ENERGY, DEPARTMENT OF",NATIONAL NUCLEAR SECURITY ADMN BUSINESS SVCS DIVISION,131061181,2011,"AKIMA CONSTRUCTION SERVICES, LLC"
"ENERGY, DEPARTMENT OF",12000000,TENNESSEE,USA,3,"ENERGY, DEPARTMENT OF",CARLSBAD FIELD OFFICE,9610523,2011,VISIONARY SOLUTIONS LIMITED LIABILITY COMPANY
"ENERGY, DEPARTMENT OF",4700000,VIRGINIA,USA,10,"ENERGY, DEPARTMENT OF",WESTERN-SIERRA NEVADA REGION,89896737,2012,"FOUR POINTS TECHNOLOGY, L.L.C."
"ENERGY, DEPARTMENT OF",1937116,MARYLAND,USA,7,"ENERGY, DEPARTMENT OF",HEADQUARTERS PROCUREMENT SERVICES,785621988,2011,"BCS, INCORPORATED"
"ENERGY, DEPARTMENT OF",210000,WEST VIRGINIA,USA,1,"ENERGY, DEPARTMENT OF",PORTSMOUTH/PADUCAH PROJECT OFFICE (EM CBC),150063936,2011,PERFORMANCE RESULTS CORP
EPA,1704345984,CONNECTICUT,USA,4,EPA,REGION 1 CONTRACTING OFFICE,132010856,2011,"PERKINELMER HEALTH SCIENCES, INC"
EPA,1200000000,VIRGINIA,USA,10,EPA,HEADQUARTERS PROCUREMENT OPERATIONS DIVISION (HPOD),97779698,2011,SYSTEMS RESEARCH AND APPLICATIONS CORPORATION
EPA,1200000000,VIRGINIA,USA,10,EPA,HEADQUARTERS PROCUREMENT OPERATIONS DIVISION (HPOD),97779698,2011,SYSTEMS RESEARCH AND APPLICATIONS CORPORATION
EPA,90000000,OHIO,USA,1,EPA,REGION 6 CONTRACTING OFFICE,622824886,2011,ENVIRONMENTAL QUALITY MANAGEMENT INCORPORATED
EPA,9883089,MARYLAND,USA,3,EPA,REGION 7 CONTRACTING OFFICE,877964346,2011,GERSTEL INC.
EPA,5000000,VIRGINIA,USA,8,EPA,HEADQUARTERS PROCUREMENT OPERATIONS DIVISION (HPOD),962316522,2011,PROTECTION STRATEGIES INCORPORATED (PSI)
EPA,1200000,COLORADO,USA,7,EPA,REGION 4 CONTRACTING OFFICE,825211824,2011,"TOEROEK ASSOCIATES, INC."
FARM SERVICE AGENCY,4657999872,VIRGINIA,USA,8,FARM SERVICE AGENCY,ACQUISITION MANAGEMENT DIVISION,858485758,2011,ACCENTURE LLP
FARM SERVICE AGENCY,4360695808,ILLINOIS,USA,10,FARM SERVICE AGENCY,AGRIC STABILIZ AND CONS SVC,796426286,2011,SAPUTO CHEESE USA INC.
FEDERAL ACQUISITION SERVICE,350000000000,MARYLAND,USA,2,FEDERAL ACQUISITION SERVICE,GSA/FAS TOOLS ACQUISITION DIVISION II,99983988,2011,CYTEC ENGINEERED MATERIALS INC
FEDERAL ACQUISITION SERVICE,60000000000,TEXAS,USA,24,FEDERAL ACQUISITION SERVICE,GSA/FAS TOOLS ACQUISITION DIVISION II,809968902,2011,"AVIALL SERVICES, INC."
